"KEGGID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","KEGGClassNames","Genes"
"00061",0.037889620808234,7.7270732777534,2.35991045290167,5,6,"Fatty acid biosynthesis","Metabolism; Lipid metabolism","ACACA, ACACB, FASN, MCAT, OLAH"
"00970",0.000157693744430035,3.35106382978723,16.1260547614947,28,41,"Aminoacyl-tRNA biosynthesis","Genetic Information Processing; Translation","CARS1, EPRS1, FARSA, HARS1, IARS1, KARS1, QARS1, RARS1, SARS1, TARS1, WARS1, YARS1, FARSB, WARS2, FARS2, HARS2, PARS2, YARS2, LARS1, DARS2, IARS2, RARS2, AARS2, CARS2, TARS2, MTFMT, TARS3, EARS2"
"00280",9.62110293950777e-05,3.33597414120928,17.3060099879456,30,44,"Valine, leucine and isoleucine degradation","Metabolism; Amino acid metabolism","ACADM, ACADS, ACADSB, ACAT1, ACAT2, ALDH2, ALDH9A1, ALDH3A2, ALDH7A1, AUH, BCAT2, DBT, ECHS1, EHHADH, HSD17B10, HADHB, HADH, HMGCL, HMGCS1, IVD, ALDH6A1, MMUT, OXCT1, PCCA, PCCB, ACAA2, HIBADH, HIBCH, MCCC1, MCCC2"
"05131",8.87426999382438e-06,3.20158270173874,23.9924229378336,41,61,"Shigellosis","Human Diseases; Infectious disease: bacterial","ACTB, RHOG, CDC42, CHUK, CRK, CRKL, MAPK14, CSK, DIAPH1, DOCK1, CTTN, IKBKB, CXCL8, ITGB1, NFKB1, NFKBIA, NFKBIB, PFN1, PFN2, MAPK3, MAPK8, MAPK9, MAPK10, MAPK13, RELA, ROCK1, VCL, WASF1, WASL, ATG5, ELMO1, ARPC5, ARPC3, ARPC1B, ARPC2, WASF2, NOD1, MAD2L2, ARPC1A, FBXW11, ARPC5L"
"05012",5.75262875996118e-09,2.85039408964305,50.7380747373859,83,129,"Parkinson disease","Human Diseases; Neurodegenerative disease","SLC25A4, SLC25A5, SLC25A6, APAF1, ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5PB, ATP5MC1, ATP5MC2, ATP5MC3, ATP5PF, ATP5PO, CASP9, COX5B, COX6C, COX7A2, COX7B, COX8A, ATP6, ATP8, COX1, COX2, COX3, CYTB, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB9, NDUFB10, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFV1, NDUFS4, NDUFS5, NDUFS6, NDUFS8, NDUFV3, PRKN, SEPTIN5, PPID, UBA1, UBE2G1, UBE2G2, UBE2L3, UQCRB, UQCRFS1, UQCRH, VDAC1, VDAC3, COX7A2L, UBE2L6, PARK7, UQCRQ, UQCR10, CYCS, NDUFB11, NDUFA12, PINK1, UBE2J2, UQCRHL"
"00190",5.92072441503041e-09,2.82382978723404,51.5247115550198,84,131,"Oxidative phosphorylation","Metabolism; Energy metabolism","ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5PB, ATP5MC1, ATP5MC2, ATP5MC3, ATP5ME, ATP5PF, ATP6V1A, ATP6V1B2, ATP6V1C1, ATP6V1E1, ATP6V0B, ATP6V0A1, ATP6AP1, ATP5PO, COX5B, COX6C, COX7A2, COX7B, COX8A, COX11, COX15, ATP6, ATP8, COX1, COX2, COX3, CYTB, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB9, NDUFB10, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFV1, NDUFS4, NDUFS5, NDUFS6, NDUFS8, NDUFV3, PPA1, UQCRB, UQCRFS1, UQCRH, ATP6V0E1, COX7A2L, ATP6V1F, COX17, TCIRG1, ATP5MG, ATP6V0A2, PPA2, UQCRQ, UQCR10, ATP6V1H, NDUFB11, NDUFA12, LHPP, UQCRHL"
"04130",0.00242779622447044,2.74657231313578,14.15946271741,23,36,"SNARE interactions in vesicular transport","Genetic Information Processing; Folding, sorting and degradation","BNIP1, STX2, STX1A, STX3, STX4, STX5, VAMP1, VAMP7, STX7, STX11, VAMP3, GOSR1, GOSR2, BET1, YKT6, VAMP5, BET1L, STX18, STX17, USE1, SNAP47, VTI1A, STX19"
"04710",0.0181229844235833,2.70980176211454,8.65300499397279,14,22,"Circadian rhythm","Organismal Systems; Environmental adaptation","BMAL1, CRY1, CSNK1D, NPAS2, PER1, RORA, RORC, SKP1, BHLHE40, PER3, PER2, NR1D1, FBXW11, FBXL3"
"00531",0.0305144063793043,2.65291750503018,7.47304976752196,12,19,"Glycosaminoglycan degradation","Metabolism; Glycan biosynthesis and metabolism","ARSB, GALNS, GLB1, GNS, GUSB, HEXA, HEXB, IDS, NAGLU, SGSH, HYAL3, HGSNAT"
"00052",0.0109215329921983,2.63436259373622,10.6195970380575,17,27,"Galactose metabolism","Metabolism; Carbohydrate metabolism","GAA, GALE, GALK1, GALK2, GALT, GANC, B4GALT1, GLA, GLB1, HK1, HK2, LALBA, LCT, PFKM, PGM1, B4GALT2, PGM2"
"04910",2.8664623954721e-08,2.61169244767971,54.2779404167384,86,138,"Insulin signaling pathway","Organismal Systems; Endocrine system","ACACA, ACACB, AKT1, AKT2, BAD, BRAF, CBL, CBLB, CRK, CRKL, EIF4E, EIF4EBP1, ELK1, FASN, FBP1, FOXO1, MTOR, MKNK2, GRB2, RAPGEF1, GYS1, HK1, HK2, HRAS, IKBKB, INPP5D, INSR, IRS1, LIPE, NRAS, PCK2, PHKA1, PHKA2, PHKB, PHKG2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PPP1CB, PRKAA2, PRKAB1, PRKAB2, PRKACA, PRKACB, PRKAG1, PRKAR1A, PRKAR2A, PRKAR2B, PRKCI, PRKCZ, MAPK3, MAPK8, MAPK9, MAPK10, MAP2K1, MAP2K2, PRKX, PTPN1, PTPRF, PYGB, RAF1, RHEB, RPS6, RPS6KB1, RPS6KB2, SHC1, SOS2, SREBF1, TSC1, TSC2, MKNK1, SOCS1, TRIP10, FLOT1, SORBS1, SH2B2, RHOQ, CBLC, SHC2, PRKAG2, INPP5K, CALML5, RPTOR, PPP1R3B, SOCS4"
"04012",1.31829539920619e-05,2.56094578067672,34.2187015670742,54,87,"ErbB signaling pathway","Environmental Information Processing; Signal transduction","ABL2, AKT1, AKT2, BAD, BRAF, BTC, CAMK2G, CBL, CBLB, CDKN1A, CDKN1B, CRK, CRKL, HBEGF, EGF, EGFR, EIF4EBP1, ELK1, ERBB2, ERBB3, MTOR, GRB2, HRAS, NCK1, NRAS, PAK1, PAK2, PAK3, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLCG1, PLCG2, MAPK3, MAPK8, MAPK9, MAPK10, MAP2K1, MAP2K2, PTK2, RAF1, RPS6KB1, RPS6KB2, MAP2K4, SHC1, SOS2, SRC, STAT5A, STAT5B, NCK2, PAK4, CBLC, SHC2"
"05120",0.000140361856805235,2.51962533452275,26.7456517995523,42,68,"Epithelial cell signaling in Helicobacter pylori infection","Human Diseases; Infectious disease: bacterial","ADAM10, ATP6V1A, ATP6V1B2, ATP6V1C1, ATP6V1E1, ATP6V0B, ATP6V0A1, ATP6AP1, CDC42, CHUK, MAPK14, CSK, HBEGF, EGFR, IKBKB, CXCL8, LYN, NFKB1, NFKBIA, PAK1, PLCG1, PLCG2, MAPK8, MAPK9, MAPK10, MAPK13, PTPN11, PTPRZ1, RELA, MAP2K4, SRC, TJP1, ATP6V0E1, MAP3K14, ATP6V1F, TCIRG1, NOD1, ATP6V0A2, GIT1, F11R, ATP6V1H, IGSF5"
"05220",8.74269514845857e-05,2.50869329420022,28.712243843637,45,73,"Chronic myeloid leukemia","Human Diseases; Cancer: specific types","AKT1, AKT2, BAD, BCL2L1, BCR, BRAF, RUNX1, CBL, CBLB, CDKN1A, CDKN1B, CHUK, CRK, CRKL, E2F1, E2F3, MECOM, GRB2, HDAC1, HDAC2, HRAS, IKBKB, MDM2, NFKB1, NFKBIA, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, MAPK3, MAP2K1, MAP2K2, PTPN11, RAF1, RELA, SHC1, SOS2, STAT5A, STAT5B, TGFB3, TGFBR1, GAB2, CBLC, SHC2"
"05100",0.000140283111483855,2.4844728709075,27.5322886171862,43,70,"Bacterial invasion of epithelial cells","Human Diseases; Infectious disease: bacterial","ACTB, RHOA, RHOG, CBL, CBLB, CDC42, CLTA, CLTB, CLTC, CRK, CRKL, CTNNA1, CTNNB1, DOCK1, CTTN, ITGB1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PTK2, PXN, SHC1, SRC, VCL, CLTCL1, WASF1, WASL, ELMO1, ARPC5, ARPC3, ARPC1B, ARPC2, WASF2, MAD2L2, ARPC1A, CD2AP, CBLC, SHC2, DNM3, ARHGEF26, ARHGAP10, ARPC5L"
"05221",0.000584511196375814,2.47655523667084,22.4191493025659,35,57,"Acute myeloid leukemia","Human Diseases; Cancer: specific types","AKT1, AKT2, BAD, BRAF, RUNX1, CHUK, EIF4EBP1, MTOR, GRB2, HRAS, IKBKB, JUP, KIT, NFKB1, NRAS, PIK3CA, PIK3CB, PIM1, PIK3CD, PIK3R1, PML, MAPK3, MAP2K1, MAP2K2, RAF1, RELA, RPS6KB1, RPS6KB2, SOS2, STAT3, STAT5A, STAT5B, TCF7L2, PIM2, TCF7L1"
"00480",0.00152374634576086,2.45458366412927,19.2726020320303,30,49,"Glutathione metabolism","Metabolism; Metabolism of other amino acids","ANPEP, G6PD, GGT1, GGT5, GCLM, GPX1, GPX4, GSR, GSS, GSTA1, GSTA4, GSTM2, GSTM4, GSTP1, GSTZ1, IDH1, IDH2, MGST1, MGST2, PGD, RRM1, SRM, OPLAH, RRM2B, LAP3, TXNDC12, GGCT, GSTO2, GGT6, GSTK1"
"04722",7.70178209696502e-07,2.42338921613049,49.951437919752,77,127,"Neurotrophin signaling pathway","Organismal Systems; Nervous system","AKT1, AKT2, RHOA, ARHGDIB, ATF4, BAD, BAX, BRAF, CAMK2G, CDC42, CRK, CRKL, MAPK14, CSK, FOXO3, GRB2, RAPGEF1, HRAS, IKBKB, IRAK1, IRAK2, IRS1, MAP3K1, MAP3K3, MAP3K5, NFKB1, NFKBIA, NFKBIB, NFKBIE, NRAS, NTRK2, NTRK3, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLCG1, PLCG2, MAPK3, MAPK7, MAPK8, MAPK9, MAPK10, MAPK13, MAP2K1, MAP2K2, MAP2K5, PSEN1, PSEN2, PTPN11, RAF1, RAP1A, RAP1B, RELA, RPS6KA1, SHC1, SOS2, TRAF6, YWHAE, YWHAG, RPS6KA4, RPS6KA5, MAPKAPK2, MAGED1, SH2B3, SH2B2, ZNF274, FRS2, YWHAQ, PRDM4, IRAK3, SHC2, BEX3, RPS6KA6, IRAK4, CALML5, KIDINS220"
"05110",0.00149413977329298,2.36961854013364,20.8458756672981,32,53,"Vibrio cholerae infection","Human Diseases; Infectious disease: bacterial","ACTB, ADCY3, ARF1, ATP6V1A, ATP6V1B2, ATP6V1C1, ATP6V1E1, ATP6V0B, ATP6V0A1, ATP6AP1, GNAS, KCNQ1, PLCG1, PLCG2, PRKACA, PRKACB, PRKX, SLC12A2, TJP1, ATP6V0E1, ATP6V1F, TJP2, TCIRG1, SEC61B, KDELR2, KDELR3, SEC61G, ATP6V0A2, SEC61A1, ERO1A, ATP6V1H, SEC61A2"
"03020",0.0283123227744781,2.25236491903159,10.6195970380575,16,27,"RNA polymerase","Genetic Information Processing; Transcription","POLR3D, POLR2C, POLR2D, POLR2E, POLR2F, POLR2I, POLR2J, POLR2L, POLR3C, POLR3A, POLR1D, POLR3B, POLR1E, POLR1B, POLR3GL, POLR3H"
"04210",0.000192041255804714,2.21223316912972,34.2187015670742,51,87,"Apoptosis","Cellular Processes; Cell growth and death","AKT1, AKT2, APAF1, BIRC2, BIRC3, BAD, BAX, BCL2L1, BID, CASP6, CASP9, CHUK, DFFA, DFFB, ENDOG, IKBKB, IL1RAP, IL3RA, IRAK1, IRAK2, MYD88, NFKB1, NFKBIA, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PPP3CA, PPP3R1, PRKACA, PRKACB, PRKAR1A, PRKAR2A, PRKAR2B, PRKX, RELA, TNFRSF1A, TRAF2, TRADD, RIPK1, FADD, TNFRSF10B, TNFRSF10A, CFLAR, MAP3K14, AIFM1, IRAK3, CHP1, ENDOD1, IRAK4, CYCS"
"04150",0.00542112572025315,2.11805275469872,20.4525572584811,30,52,"mTOR signaling pathway","Environmental Information Processing; Signal transduction","AKT1, AKT2, BRAF, EIF4B, EIF4E, EIF4EBP1, MTOR, HIF1A, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PRKAA2, MAPK3, RHEB, RPS6, RPS6KA1, RPS6KB1, RPS6KB2, TSC1, TSC2, VEGFA, VEGFB, ULK1, RPS6KA6, CAB39, RPTOR, MLST8, STRADA, RICTOR"
"05213",0.00542112572025315,2.11805275469872,20.4525572584811,30,52,"Endometrial cancer","Human Diseases; Cancer: specific types","AKT1, AKT2, APC, BAD, BRAF, CASP9, CTNNA1, CTNNB1, EGF, EGFR, ELK1, ERBB2, FOXO3, GRB2, HRAS, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, MAPK3, MAP2K1, MAP2K2, PTEN, RAF1, SOS2, TCF7L2, AXIN1, APC2, TCF7L1"
"00620",0.0149066967302999,2.09792647709238,15.7327363526778,23,40,"Pyruvate metabolism","Metabolism; Carbohydrate metabolism","ACACA, ACACB, ACAT1, ACAT2, ACYP1, ACYP2, ALDH2, ALDH9A1, ALDH3A2, ALDH7A1, DLAT, LDHA, LDHB, MDH1, MDH2, ME2, PC, PCK2, PDHA1, PDHB, PKM, ACSS2, LDHD"
"00330",0.00523919342107265,2.09382658870299,21.239194076115,31,54,"Arginine and proline metabolism","Metabolism; Amino acid metabolism","ACY1, ALDH2, ALDH9A1, ALDH3A2, ARG2, ASL, ALDH7A1, CKB, CKMT1B, CKMT2, CPS1, GAMT, GATM, GLUD1, GLUL, GOT1, GOT2, MAOA, MAOB, OAT, P4HA1, PYCR1, ALDH18A1, SAT1, SRM, P4HA2, LAP3, PYCR3, SAT2, AZIN2, CKMT1A"
"05212",0.00181877754145996,2.07546048722519,27.5322886171862,40,70,"Pancreatic cancer","Human Diseases; Cancer: specific types","AKT1, AKT2, BAD, BCL2L1, BRAF, BRCA2, CASP9, CDC42, CHUK, E2F1, E2F3, EGF, EGFR, ERBB2, IKBKB, JAK1, SMAD2, NFKB1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLD1, MAPK3, MAPK8, MAPK9, MAPK10, MAP2K1, RAC2, RAC3, RAF1, RALA, RALB, RELA, STAT1, STAT3, TGFB3, TGFBR1, VEGFA, VEGFB"
"05145",6.4421148033481e-05,2.00764915454625,51.1313931462029,73,130,"Toxoplasmosis","Human Diseases; Infectious disease: parasitic","AKT1, AKT2, ALOX5, BIRC2, BIRC3, BAD, BCL2L1, CASP9, CD40, CHUK, MAPK14, GNAI1, GNAI2, GNAI3, HLA-DMB, HLA-DOA, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, HSPA1A, HSPA1B, HSPA1L, HSPA8, IFNGR1, IFNGR2, IKBKB, IL10RB, IRAK1, ITGA6, ITGB1, JAK1, JAK2, LAMA3, LAMA5, LAMC1, CIITA, MYD88, NFKB1, NFKBIA, NFKBIB, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLA2G4A, MAPK3, MAPK8, MAPK9, MAPK10, MAPK13, MAP2K3, MAP2K6, RELA, STAT1, STAT3, TGFB3, TLR2, TLR4, TNFRSF1A, TRAF6, TYK2, PLA2G6, SOCS1, PPIF, LY96, PLA2G3, IRAK4, CYCS, PLA2G12A"
"04520",0.00250297947899521,1.99413452964779,28.712243843637,41,73,"Adherens junction","Cellular Processes; Cellular community - eukaryotes","ACP1, ACTB, ACTN4, RHOA, CDC42, CSNK2A1, CTNNA1, CTNNB1, CTNND1, EGFR, EP300, ERBB2, FGFR1, INSR, SMAD2, AFDN, MAPK3, PTPN1, PTPN6, PTPRF, PTPRJ, PTPRM, NECTIN2, RAC2, RAC3, SRC, TCF7L2, TGFBR1, TJP1, VCL, YES1, WASF1, WASL, WASF2, BAIAP2, SORBS1, WASF3, NLK, PARD3, TCF7L1, SSX2IP"
"00562",0.00724373611795651,1.98820603907638,22.4191493025659,32,57,"Inositol phosphate metabolism","Metabolism; Carbohydrate metabolism","IMPA1, IMPA2, INPP4A, INPP5A, INPP5B, ITPK1, ITPKB, ALDH6A1, OCRL, PIK3C2A, PIK3C2B, PIK3C2G, PIK3CA, PIK3CB, PIK3CD, PI4KA, PIP4K2A, PLCB2, PLCG1, PLCG2, PTEN, SYNJ2, PIP5K1C, INPP5J, PLCE1, INPP5K, PI4K2A, INPP5E, PIP4K2C, PLCD3, PIKFYVE, IPMK"
"00071",0.0205775814795817,1.95845365626456,16.9126915791286,24,43,"Fatty acid degradation","Metabolism; Lipid metabolism","ACADM, ACADS, ACADSB, ACAT1, ACAT2, ACOX1, ADH5, ALDH2, ALDH9A1, ALDH3A2, ALDH7A1, CPT1A, CPT2, ECI1, ECHS1, EHHADH, ACSL1, ACSL4, GCDH, HADHB, HADH, ACOX3, ACAA2, ACSL5"
"05211",0.00382677344749828,1.95686471729291,27.5322886171862,39,70,"Renal cell carcinoma","Human Diseases; Cancer: specific types","AKT1, AKT2, ARNT, BRAF, CDC42, CRK, CRKL, EP300, FH, GRB2, RAPGEF1, HIF1A, HRAS, NRAS, PAK1, PAK2, PAK3, PIK3CA, PIK3CB, PIK3CD, PIK3R1, MAPK3, MAP2K1, MAP2K2, PTPN11, RAF1, RAP1A, RAP1B, SOS2, ELOB, TGFB3, VEGFA, VEGFB, VHL, CUL2, PAK4, EGLN2, EGLN3, FLCN"
"00270",0.0351383583177469,1.93628533568905,14.15946271741,20,36,"Cysteine and methionine metabolism","Metabolism; Amino acid metabolism","CBS, CTH, DNMT1, TRDMT1, DNMT3A, DNMT3B, GOT1, GOT2, LDHA, LDHB, MAT2A, MTAP, MTR, SRM, TST, AHCYL1, SDS, APIP, ADI1, ENOPH1"
"04330",0.0187440033279228,1.92019908051795,18.4859652143964,26,47,"Notch signaling pathway","Environmental Information Processing; Signal transduction","DVL1, DVL2, EP300, KAT2A, HDAC1, HDAC2, HES1, RBPJ, LFNG, NOTCH1, NOTCH2, NOTCH3, PSEN1, PSEN2, RFNG, NUMB, CIR1, NCOR2, DTX4, NCSTN, APH1A, MAML3, PSENEN, MAML2, DTX2, DTX3L"
"03018",0.00531636375194493,1.89516982182628,27.9256070260031,39,71,"RNA degradation","Genetic Information Processing; Folding, sorting and degradation","BTG1, DDX6, ENO2, ENO3, CNOT2, CNOT3, PABPC3, EXOSC9, EXOSC10, BTG2, PABPC4, CNOT9, SKIC3, MPHOSPH6, C1D, TOB2, TENT4A, LSM6, EXOSC8, XRN2, EXOSC7, MTREX, LSM5, LSM4, CNOT10, PABPC1, LSM1, LSM3, CNOT7, EXOSC3, EXOSC1, LSM8, XRN1, DCP1A, SKIC8, ZCCHC7, DCP2, PATL1, PAN3"
"05219",0.0302245665168797,1.87602132265649,16.5193731703117,23,42,"Bladder cancer","Human Diseases; Cancer: specific types","BRAF, CDKN1A, DAPK3, E2F1, E2F3, TYMP, EGF, EGFR, ERBB2, FGFR3, HRAS, CXCL8, MDM2, NRAS, MAPK3, MAP2K1, MAP2K2, RAF1, THBS1, VEGFA, VEGFB, RPS6KA5, DAPK2"
"05160",0.000234895793959937,1.87383499788687,52.7046667814706,73,134,"Hepatitis C","Human Diseases; Infectious disease: viral","AKT1, AKT2, BAD, BRAF, CD81, CDKN1A, CHUK, CLDN4, CLDN3, CLDN7, MAPK14, EGF, EGFR, EIF2S1, GRB2, HRAS, IFIT1, IFNAR1, IFNAR2, IKBKB, CXCL8, EIF3E, IRF1, IRF3, IRF7, JAK1, NFKB1, NFKBIA, NRAS, OAS1, OAS2, OAS3, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PPARA, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, MAPK3, MAPK8, MAPK9, MAPK10, MAPK13, EIF2AK2, RAF1, RELA, SOS2, STAT1, STAT2, STAT3, TNFRSF1A, TRAF2, TRAF3, TRAF6, TYK2, PIAS1, TRADD, RIPK1, CLDN8, NR1H3, PSME3, RIGI, CLDN15, EIF2AK1, TBK1, PIAS4, MAVS, CLDN23, TICAM1, OCLN"
"00310",0.0287135012079059,1.86,17.3060099879456,24,44,"Lysine degradation","Metabolism; Amino acid metabolism","ACAT1, ACAT2, ALDH2, ALDH9A1, ALDH3A2, ALDH7A1, ECHS1, EHHADH, GCDH, HADH, PLOD2, SUV39H1, BBOX1, PLOD3, SETD1A, AASS, SETD1B, SETD2, AADAT, TMLHE, COLGALT1, SUV39H2, SETDB2, KMT5C"
"04962",0.0287135012079059,1.86,17.3060099879456,24,44,"Vasopressin-regulated water reabsorption","Organismal Systems; Excretory system","ADCY3, ADCY6, AQP3, ARHGDIB, CREB1, DCTN1, DYNC1H1, DYNC1LI2, GNAS, PRKACA, PRKACB, PRKX, RAB5A, RAB5B, RAB5C, STX4, RAB11A, CREB3, DCTN2, DCTN6, DYNC1LI1, DYNC2LI1, CREB3L2, DYNLL2"
"04666",0.00232486722432839,1.85498998166859,36.1852936111589,50,92,"Fc gamma R-mediated phagocytosis","Organismal Systems; Immune system","AKT1, AKT2, CDC42, CFL1, CRK, CRKL, GSN, INPP5D, LIMK1, LYN, MARCKS, PAK1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLA2G4A, PLCG1, PLCG2, PLD1, PRKCE, MAPK3, MAP2K1, RAC2, RAF1, RPS6KB1, RPS6KB2, SYK, VASP, VAV2, PLA2G6, PLPP1, PLPP3, SPHK1, WASF1, WASL, GAB2, ARPC5, ARPC3, ARPC1B, ARPC2, WASF2, ARPC1A, WASF3, PIP5K1C, DNM3, ASAP1, ASAP3, MARCKSL1, ARPC5L"
"04612",0.00801231662634062,1.85486024376588,26.7456517995523,37,68,"Antigen processing and presentation","Organismal Systems; Immune system","CREB1, CTSB, CTSL, CTSS, HLA-A, HLA-B, HLA-C, HLA-DMB, HLA-DOA, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-E, HLA-F, HLA-G, HSPA1A, HSPA1B, HSPA1L, HSPA8, HSP90AA1, HSP90AB1, CIITA, NFYA, LGMN, PSME1, PSME2, RFX5, RFXAP, TAP1, TAP2, TAPBP, RFXANK, PSME3"
